Entity,Deaths - Malaria - Sex: Both - Age: All Ages (Number)
Afghanistan,530
African Region (WHO),590252
Albania,0
Algeria,0
American Samoa,0
Andorra,0
Angola,10784
Antigua and Barbuda,0
Argentina,0
Armenia,0
Australia,0
Austria,0
Azerbaijan,0
Bahamas,0
Bahrain,0
Bangladesh,110
Barbados,0
Belarus,0
Belgium,0
Belize,0
Benin,13264
Bermuda,0
Bhutan,0
Bolivia,0
Bosnia and Herzegovina,0
Botswana,14
Brazil,118
Brunei,0
Bulgaria,0
Burkina Faso,26305
Burundi,7280
Cambodia,57
Cameroon,22652
Canada,0
Cape Verde,9
Central African Republic,4248
Chad,7194
Chile,0
China,0
Colombia,55
Comoros,174
Congo,2102
Cook Islands,0
Costa Rica,0
Cote d'Ivoire,29398
Croatia,0
Cuba,0
Cyprus,0
Czechia,0
Democratic Republic of Congo,57160
Denmark,0
Djibouti,97
Dominica,0
Dominican Republic,5
East Asia & Pacific (WB),2142
Eastern Mediterranean Region (WHO),15985
Ecuador,1
Egypt,0
El Salvador,0
England,0
Equatorial Guinea,768
Eritrea,331
Estonia,0
Eswatini,9
Ethiopia,13104
Europe & Central Asia (WB),0
European Region (WHO),0
Fiji,0
Finland,0
France,0
French Guiana,
French Polynesia,
G20,34594
Gabon,715
Gambia,637
Georgia,0
Germany,0
Ghana,21597
Greece,0
Greenland,0
Grenada,0
Guadeloupe,
Guam,0
Guatemala,0
Guinea,11336
Guinea-Bissau,584
Guyana,17
Haiti,453
Honduras,1
Hong Kong,
Hungary,0
Iceland,0
India,33372
Indonesia,637
Iran,0
Iraq,0
Ireland,0
Israel,0
Italy,0
Jamaica,0
Japan,0
Jordan,0
Kazakhstan,0
Kenya,8049
Kiribati,0
Kosovo,
Kuwait,0
Kyrgyzstan,0
Laos,23
Latin America & Caribbean (WB),1342
Latvia,0
Lebanon,0
Lesotho,0
Liberia,4587
Libya,0
Lithuania,0
Luxembourg,0
Macau,
Madagascar,5920
Malawi,7076
Malaysia,5
Maldives,0
Mali,18000
Malta,0
Marshall Islands,0
Martinique,
Mauritania,1997
Mauritius,0
Mexico,1
Micronesia (country),0
Middle East & North Africa (WB),5187
Moldova,0
Monaco,0
Mongolia,0
Montenegro,0
Morocco,0
Mozambique,20528
Myanmar,294
Namibia,192
Nauru,0
Nepal,1
Netherlands,0
New Caledonia,
New Zealand,0
Nicaragua,3
Niger,23822
Nigeria,191106
Niue,0
North America (WB),0
North Korea,2
North Macedonia,0
Northern Ireland,0
Northern Mariana Islands,0
Norway,0
OECD Countries,3
Oman,0
Pakistan,4031
Palau,0
Palestine,0
Panama,0
Papua New Guinea,928
Paraguay,0
Peru,19
Philippines,46
Poland,0
Portugal,0
Puerto Rico,0
Qatar,0
Region of the Americas (WHO),1342
Romania,0
Russia,0
Rwanda,3386
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
San Marino,0
Sao Tome and Principe,12
Saudi Arabia,1
Scotland,0
Senegal,6740
Serbia,0
Seychelles,0
Sierra Leone,11717
Singapore,0
Slovakia,0
Slovenia,0
Solomon Islands,87
Somalia,3899
South Africa,464
South Asia (WB),38044
South Korea,2
South Sudan,5109
South-East Asia Region (WHO),34416
Spain,0
Sri Lanka,0
Sub-Saharan Africa (WB),596488
Sudan,2337
Suriname,0
Sweden,0
Switzerland,0
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,17014
Thailand,1
Timor,0
Togo,5436
Tokelau,0
Tonga,0
Trinidad and Tobago,0
Tunisia,0
Turkey,0
Turkmenistan,0
Tuvalu,0
Uganda,22587
Ukraine,0
United Arab Emirates,0
United Kingdom,0
United States,0
United States Virgin Islands,0
Uruguay,0
Uzbekistan,0
Vanuatu,1
Venezuela,667
Vietnam,59
Wales,0
Wallis and Futuna,
Western Pacific Region (WHO),1208
Western Sahara,
World,643381
World (excluding China),
World Bank High Income,3
World Bank Low Income,300492
World Bank Lower Middle Income,339666
World Bank Upper Middle Income,3044
Yemen,5089
Zambia,4777
Zimbabwe,2068
