0,1
United States,2014
China,2014
Iran,2014
Saudi Arabia,2014
Somalia,2014
Bangladesh,2013
North Korea,2013
Malaysia,2013
Japan,2013
Taiwan,2013
Iraq,2013
Vietnam,2013
Palestinian Territories,2013
Kuwait,2013
Afghanistan,2013
India,2013
Yemen,2013
Indonesia,2013
Nigeria,2013
Sudan,2013
Botswana,2013
South Sudan,2013
Belarus,2012
Syria,2012
Pakistan,2012
Gambia,2012
Madagascar,2012
Singapore,2011
United Arab Emirates,2011
Egypt,2011
Bahrain,2010
Libya,2010
Equatorial Guinea,2010
Thailand,2009
Saint Kitts and Nevis,2008
Mongolia,2008
Oman,2007
Ethiopia,2007
Kyrgyzstan,2007
Jordan,2006
Uzbekistan,2005
Uganda,2005
Lebanon,2004
Tajikistan,2004
Samoa,2004
Cuba,2003
Qatar,2003
Kazakhstan,2003
Chad,2003
Zimbabwe,2003
Timor-Leste,2002
Guinea,2001
Guatemala,2000
Bahamas,2000
Burundi,2000
Cote d'Ivoire,2000
Trinidad & Tobago,1999
Philippines,1999
Rwanda,1998
Sierra Leone,1998
Guyana,1997
Ukraine,1997
South Korea,1997
Turkmenistan,1997
Zambia,1997
Cameroon,1997
Comoros,1997
Russia,1996
Latvia,1996
Saint Vincent and the Grenadines,1995
Saint Lucia,1995
Lithuania,1995
Georgia,1995
Albania,1995
Liberia,1995
Djibouti,1995
Tanzania,1994
Palau,1994
Azerbaijan,1993
Burma,1993
Morocco,1993
Ghana,1993
Algeria,1993
Seychelles,1993
Malawi,1992
Angola,1992
Antigua & Barbuda,1991
Estonia,1991
Tunisia,1991
Namibia,1990
Romania,1989
Bulgaria,1989
Laos,1989
Cambodia,1989
South Africa,1989
Jamaica,1988
Hungary,1988
Poland,1988
Burkina Faso,1988
Kenya,1987
Mauritius,1987
Benin,1987
Mauritania,1987
Dominica,1986
Mozambique,1986
Guinea-Bissau,1986
Marshall Islands,1986
Micronesia,1986
Belize,1985
Chile,1985
Barbados,1984
Turkey,1984
Lesotho,1984
Eswatini,1983
Suriname,1982
Tonga,1982
Republic of the Congo,1982
Central African Republic,1981
Gabon,1981
Cape Verde,1981
Mali,1980
Vanuatu,1980
Peru,1979
Nepal,1979
Kiribati,1979
Grenada,1978
Togo,1978
Solomon Islands,1978
Tuvalu,1978
France,1977
Sri Lanka,1976
Niger,1976
Spain,1975
Bolivia,1974
Bhutan,1974
El Salvador,1973
Haiti,1972
Greece,1972
Australia,1967
Senegal,1967
Dominican Republic,1966
Cyprus,1962
Israel,1962
New Zealand,1957
Ireland,1954
United Kingdom,1953
Netherlands,1952
Austria,1950
Belgium,1950
Denmark,1950
Luxembourg,1949
Norway,1948
Italy,1947
Germany,1945
East Germany,1945
Finland,1944
Switzerland,1944
Andorra,1943
Malta,1942
Honduras,1940
Nicaragua,1930
Paraguay,1928
Argentina,1916
Sweden,1910
Colombia,1909
Uruguay,1905
Ecuador,1884
Brazil,1876
Vatican City,1870
Costa Rica,1859
Monaco,1847
Portugal,1846
Liechtenstein,1785
San Marino,1468
