0,1
Norway,52.0
Switzerland,35.0
Australia,32.0
Ireland,49.0
Germany,59.0
Iceland,79.0
Sweden,63.0
Singapore,37.0
Netherlands,63.0
Denmark,62.0
Canada,58.0
United States,65.0
United Kingdom,47.0
Finland,49.0
New Zealand,52.0
Belgium,41.0
Liechtenstein,-1.0
Japan,47.0
Austria,34.0
Luxembourg,29.0
Israel,42.0
South Korea,22.0
France,17.0
Slovenia,40.0
Spain,24.0
Czech Republic,57.0
Italy,10.0
Malta,80.0
Estonia,32.0
Greece,9.0
Cyprus,44.0
Poland,46.0
United Arab Emirates,50.0
Andorra,-1.0
Lithuania,35.0
Qatar,66.0
Slovakia,24.0
Brunei,-1.0
Saudi Arabia,54.0
Latvia,21.0
Portugal,47.0
Bahrain,40.0
Chile,30.0
Hungary,44.0
Croatia,28.0
Argentina,17.0
Oman,-1.0
Russia,20.0
Montenegro,22.0
Bulgaria,26.0
Romania,33.0
Belarus,10.0
Bahamas,-1.0
Uruguay,19.0
Kuwait,46.0
Malaysia,54.0
Barbados,-1.0
Kazakhstan,35.0
Iran,23.0
Palau,-1.0
Seychelles,-1.0
Costa Rica,31.0
Turkey,40.0
Mauritius,43.0
Panama,46.0
Serbia,22.0
Albania,20.0
Trinidad & Tobago,32.0
Antigua & Barbuda,-1.0
Georgia,9.0
Cuba,-1.0
Mexico,45.0
Grenada,-1.0
Sri Lanka,45.0
Bosnia and Herzegovina,16.0
Venezuela,19.0
Brazil,18.0
Azerbaijan,26.0
Lebanon,21.0
North Macedonia,28.0
Armenia,17.0
Thailand,38.0
Algeria,16.0
China,36.0
Ecuador,32.0
Ukraine,18.0
Peru,42.0
Colombia,33.0
Fiji,-1.0
Mongolia,5.0
Dominican Republic,34.0
Jordan,28.0
Tunisia,18.0
Jamaica,30.0
Tonga,-1.0
Suriname,34.0
Botswana,31.0
Maldives,-1.0
Dominica,-1.0
Samoa,-1.0
Uzbekistan,69.0
Belize,40.0
Marshall Islands,-1.0
Libya,44.0
Turkmenistan,39.0
Gabon,27.0
Paraguay,42.0
Moldova,6.0
Philippines,69.0
South Africa,28.0
Egypt,15.0
Indonesia,56.0
Vietnam,40.0
Bolivia,36.0
Iraq,25.0
El Salvador,33.0
Kyrgyzstan,49.0
Morocco,36.0
Nicaragua,49.0
Cape Verde,-1.0
Guyana,-1.0
Guatemala,40.0
Tajikistan,51.0
Namibia,35.0
India,44.0
Micronesia,-1.0
Timor-Leste,-1.0
Honduras,42.0
Bhutan,51.0
Kiribati,-1.0
Bangladesh,31.0
Republic of the Congo,29.0
Vanuatu,-1.0
Laos,57.0
Ghana,32.0
Equatorial Guinea,-1.0
Kenya,47.0
São Tomé & Príncipe,-1.0
Eswatini,-1.0
Zambia,48.0
Cambodia,65.0
Angola,43.0
Myanmar,54.0
Nepal,63.0
Pakistan,33.0
Cameroon,45.0
Solomon Islands,-1.0
Papua New Guinea,-1.0
Tanzania,50.0
Syria,17.0
Zimbabwe,33.0
Nigeria,39.0
Rwanda,32.0
Lesotho,44.0
Mauritania,33.0
Madagascar,40.0
Uganda,43.0
Benin,41.0
Senegal,32.0
Comoros,30.0
Togo,43.0
Sudan,18.0
Afghanistan,11.0
Haiti,23.0
Côte d’Ivoire,51.0
Malawi,63.0
Djibouti,-1.0
Ethiopia,48.0
Gambia,45.0
Guinea,54.0
Democratic Republic of the Congo,37.0
Guinea-Bissau,-1.0
Yemen,6.0
Eritrea,-1.0
Mozambique,54.0
Liberia,48.0
Mali,63.0
Burkina Faso,50.0
Sierra Leone,45.0
Burundi,10.0
Chad,34.0
South Sudan,37.0
Central African Republic,54.0
Niger,36.0
Somalia,41.0
