0,1,2
France,101,Ir・ｾ・・ｽｨne Joliot-Curie
Mali,19,Cheick Modibo Diarra
Egypt,14,Ali Moustafa Mosharafa
Morocco,8,Fouad Laroui
Nigeria,8,Olufunmilayo Olopade
South Africa,8,Patience Mthunzi
Algeria,7,Mustapha Ishak-Boushaki
Tanzania,6,Mwele Ntuli Malecela
Kenya,6,Gladys Ngetich
Ethiopia,6,Sossina M. Haile
Ghana,4,Lucy Campbell
Cﾃｴte d・・Ivoire,4,Wadja Egnankou
Cameroon,4,Jacques Bonjawo
Cape Verde,4,Jo・ｾ・・ｽ｣o V・ｾ・・ｽ｡rio
Sierra Leone,4,Aisha Fofana Ibrahim
Gambia,3,Florence Mahoney
Niger,3,Fadji Maina
Uganda,3,Josephine Wapakabulo
Zimbabwe,2,Rachel Chikwamba
Madagascar,2,Achille P. Raselimanana
Mauritania,2,Mu・・ｻ・ｽｸ・ｽ･ammad al-Mu・・ｻ・ｽｸ・ｽｫtar Wuld-Abb・ｾ・・・ｻh
Somalia,2,Ahmed Mumin Warfa
Tunisia,1,Chokri Cherif
Zambia,1,Thandiwe Mweetwa
Mauritius,1,Q48955493
S・ｾ・・ｽ｣o Tom・ｾ・・ｽｩ and Pr・ｾ・・ｽｭncipe,1,Maria de Jesus Trovoada
Senegal,1,Daniel Annerose
United States,287,Albert Einstein
Australia,62,Barry Marshall
New Zealand,22,Ronald Syme
Indonesia,18,Hary Gunarto
Samoa,2,Valerie Saena Tuia
Netherlands,75,Peter Debye
Canada,36,Oswald Avery
Mexico,25,Jos・ｾ・・ｽｩ Horacio G・ｾ・・ｽｳmez
Grenada,24,C・ｾ・・ｽｩcile La Grenade
Cuba,11,Antonio S・ｾ・・ｽ｡nchez de Bustamante y Sirven
El Salvador,6,Alice Lard・ｾ・・ｽｩ de Venturino
Dominican Republic,5,Idelisa Bonnelly
Costa Rica,5,Rom・ｾ・・ｽ｡n Macaya
Dominica,4,Kellyn George
Guatemala,3,Fernando Mazariegos Anleu
Antigua & Barbuda,3,Lydia Byam
Trinidad & Tobago,1,Joan Latchman
Brazil,51,Alberto Santos-Dumont
Colombia,37,Alberto Granado
Peru,19,Carlos I. Noriega
Uruguay,18,Jos・ｾ・・ｽｩ Serrato
Venezuela,15,Jacinto Convit
Chile,8,Klaus von Storch
Bolivia,8,・ｾ・・・ｻscar Ichazo
Argentina,7,Jorge Sabato
Ecuador,7,Manuela Espejo
Suriname,4,Gerard Leckie
Sri Lanka,116,Arthur C. Clarke
Russia,81,Vitaly Ginzburg
Japan,63,Isamu Akasaki
Armenia,48,Levon Ter-Petrosyan
Iran,47,Abu al-Wafa Buzjani
Turkey,39,Ziya G・ｾ・・ｽｶkalp
Israel,33,Moshe Arens
Syria,24,Al-・ｾ・・ｽｻIjliyyah
India,23,Soumya Swaminathan
United Arab Emirates,21,Sarah Amiri
Philippines,19,Antonio Luna
Pakistan,13,Farzana Aslam
Azerbaijan,13,Sahib・ｾ・・・ｻ Qafarova
Turkmenistan,12,Sarakhsi
Iraq,11,Mohammad Bahr al-Ulloum
China,11,Julius No
Cambodia,9,Nary Ly
Kazakhstan,8,Darkhan Kydyrali
Taiwan,7,Chou Kung-shin
Bangladesh,6,Saleemul Huq
Uzbekistan,6,Aziz ad-Din Nasafi
Malaysia,5,Awang Sariyan
Tajikistan,5,Rauf Baratof
Thailand,5,Boonruen Choonhavan
South Korea,5,Hyeon Taeg-hwan
Laos,4,Bountiem Phissamay
Saudi Arabia,4,Mohammed Al Mady
Afghanistan,4,Muhammad ibn Yusuf al-Harawi
