0,1
China,1002
Nigeria,1805
Syria,2026
Yemen,762
Egypt,877
Libya,289
Turkey,222
Thailand,72
Republic of the Congo,596
Mali,361
United Kingdom,42
Colombia,84
Myanmar,218
Sudan,82
Kenya,126
Cameroon,228
Ukraine,40
Saudi Arabia,31
South Sudan,581
Central African Republic,601
Greece,0
France,7
Sri Lanka,1
Bangladesh,25
Russia,61
Israel,17
Burkina Faso,53
South Africa,21
Germany,1
Ethiopia,67
Indonesia,20
Lebanon,17
Bahrain,6
Burundi,20
Mexico,23
Sweden,5
Venezuela,5
Ireland,0
Algeria,12
Uganda,7
Niger,148
Chile,0
Pakistan,16
Mozambique,22
Iran,39
Paraguay,4
Jordan,4
Italy,0
Papua New Guinea,0
Peru,8
Chad,62
Angola,7
Tanzania,8
Afghanistan,16
Gabon,0
Tunisia,5
Spain,21
Malaysia,4
Australia,4
Zimbabwe,0
Belgium,2
Sierra Leone,0
Malta,1
Ecuador,0
Argentina,0
Czech Republic,0
Azerbaijan,5
Jamaica,0
Kyrgyzstan,0
Zambia,0
Finland,2
Vietnam,0
Brazil,0
Rwanda,2
Maldives,1
Tajikistan,1
Taiwan,0
Laos,1
Netherlands,0
Georgia,0
Poland,0
Djibouti,0
Honduras,2
Dominica,2
Latvia,0
Albania,0
Liberia,0
North Macedonia,0
Austria,2
Norway,0
Malawi,0
